Ticker,Name,Category,Class,5Y Sharpe Ratio
AAXJ,iShares MSCI All Country Asia e,Pacific/Asia ex-Japan Stk,Equities,-0.0316875902669744
ACWI,iShares MSCI ACWI ETF,Global Large-Stock Blend,Equities,0.4230063068812728
ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Blend,Equities,0.019945508071305
AFK,VanEck Africa Index ETF,Miscellaneous Region,Equities,-0.3463004318608453
AGG,iShares Core U.S. Aggregate Bon,Intermediate Core Bond,Fixed Income,0.2872433183323278
AGZ,iShares  Agency Bond ETF,Short Government,Fixed Income,-0.4446006127331409
AIA,iShares Asia 50 ETF,Pacific/Asia ex-Japan Stk,Equities,0.0534625903325952
AIVI,WisdomTree International AI Enh,Foreign Large Value,Equities,0.1171920517219426
AIVL,WisdomTree U.S. AI Enhanced Val,Mid-Cap Value,Equities,1.3703508271032387
AOA,iShares Core 80/20 Aggressive A,Global Aggressive Allocation,Blended / Multi-Asset,0.6523897801021106
AOK,iShares Core 30/70 Conservative,Global Conservative Allocation,Blended / Multi-Asset,0.6048351491760726
AOM,iShares Core 40/60 Moderate All,Global Moderately Conservative Allocation,Blended / Multi-Asset,0.5937445309339346
AOR,iShares Core 60/40 Balanced All,Global Moderate Allocation,Blended / Multi-Asset,0.6973631812203454
BAB,Invesco Taxable Municipal Bond ,Muni National Long,Fixed Income,1.042203194821421
BBH,VanEck Biotech ETF,Health,Equities,1.708437965069292
BIL,SPDR Bloomberg 1-3 Month T-Bill,Ultrashort Bond,Fixed Income,-52.22224166391069
BIV,Vanguard Intermediate-Term Bond,Intermediate Core Bond,Fixed Income,0.4506174650767144
BJK,VanEck Gaming ETF,Consumer Cyclical,Equities,0.3055355523293849
BKF,iShares MSCI BIC ETF,Diversified Emerging Mkts,Equities,-0.2971978284304381
BLV,Vanguard Long-Term Bond ETF,Long-Term Bond,Fixed Income,0.767357776172927
BMVP,Invesco Bloomberg MVP Multi-fac,Mid-Cap Blend,Equities,0.8259382437556445
BND,Vanguard Total Bond Market ETF,Intermediate Core Bond,Fixed Income,0.2184430058289401
BRF,VanEck Brazil Small-Cap ETF,Latin America Stock,Equities,-0.5135526476992489
BSV,Vanguard Short-Term Bond ETF,Short-Term Bond,Fixed Income,-0.906442684990134
BWX,SPDR Bloomberg International Tr,Global Bond,Fixed Income,-0.2887500195648371
BWZ,SPDR Bloomberg Short Term Inter,Global Bond,Fixed Income,-0.6797120543843395
BZQ,ProShares UltraShort MSCI Brazi,Trading--Inverse Equity,Equities,0.3481961909030965
CEW,WisdomTree Emerging Currency St,Emerging-Markets Local-Currency Bond,Fixed Income,-0.4540666678677949
CGW,Invesco S&P Global Water Index ,Natural Resources,Equities,0.5517572726198693
CHIQ,Global X MSCI China Consumer Di,China Region,Equities,-0.403820672988186
CMF,iShares California Muni Bond ET,Muni California Long,Fixed Income,0.8734001426043195
COLO,Global X MSCI Colombia ETF,Miscellaneous Region,Equities,-0.50064123850486
CQQQ,Invesco China Technology ETF,China Region,Equities,0.2912901650040977
CSD,Invesco S&P Spin-Off ETF,Mid-Cap Blend,Equities,1.0710501505167362
CSM,ProShares Large Cap Core Plus,Large Blend,Equities,1.0748726470977867
CUT,Invesco MSCI Global Timber ETF,Natural Resources,Equities,0.2541227243384277
CVY,Invesco Zacks Multi-Asset Incom,Aggressive Allocation,Blended / Multi-Asset,0.462115182034636
CWB,SPDR Bloomberg Convertible Secu,Convertibles,Equities,0.4444684622562799
CWI,SPDR MSCI ACWI ex-US ETF,Foreign Large Blend,Equities,0.0557189198282725
CZA,Invesco Zacks Mid-Cap ETF,Mid-Cap Blend,Equities,0.9880510614296016
DDM,ProShares Ultra Dow30,Trading--Leveraged Equity,Equities,1.0463995385391018
DEM,WisdomTree Emerging Markets Hig,Diversified Emerging Mkts,Equities,-0.3199683193193424
