Ticker,Name,Category,Class,5Y Sharpe Ratio
AADR,,,Unclassified,0.4998114589459203
AAXJ,,,Unclassified,0.1045564893256079
ACWI,,,Unclassified,0.5812408645466473
ACWX,,,Unclassified,0.1780699536834049
AFK,,,Unclassified,-0.4342531117053186
AGG,,,Unclassified,-0.3092861005542579
AGZ,,,Unclassified,-0.8548286993358952
AIA,,,Unclassified,0.1503918402740172
AIVI,,,Unclassified,0.0941140357084581
AIVL,,,Unclassified,0.858982121360709
AMLP,,,Unclassified,-0.3010347318055792
AOA,iShares Core 80/20 Aggressive A,Global Aggressive Allocation,Blended / Multi-Asset,0.7969401687425854
AOK,iShares Core 30/70 Conservative,Global Conservative Allocation,Blended / Multi-Asset,0.2255279699904088
AOM,iShares Core 40/60 Moderate All,Global Moderately Conservative Allocation,Blended / Multi-Asset,0.4866342301635486
AOR,iShares Core 60/40 Balanced All,Global Moderate Allocation,Blended / Multi-Asset,0.7187500250037905
BAB,Invesco Taxable Municipal Bond ,Muni National Long,Fixed Income,0.3615484527817109
BBH,VanEck Biotech ETF,Health,Equities,1.5339490046096669
BIB,ProShares Ultra Nasdaq Biotechn,Trading--Leveraged Equity,Equities,1.4653683343103885
BIL,SPDR Bloomberg 1-3 Month T-Bill,Ultrashort Bond,Fixed Income,-52.677981074047345
BIS,ProShares UltraShort Nasdaq Bio,Trading--Inverse Equity,Equities,-1.966455001484951
BIV,Vanguard Intermediate-Term Bond,Intermediate Core Bond,Fixed Income,0.005126504057084
BJK,VanEck Gaming ETF,Consumer Cyclical,Equities,0.1684816064268443
BKF,iShares MSCI BIC ETF,Diversified Emerging Mkts,Equities,-0.2016097719444045
BLV,Vanguard Long-Term Bond ETF,Long-Term Bond,Fixed Income,0.0643059331611835
BMVP,Invesco Bloomberg MVP Multi-fac,Mid-Cap Blend,Equities,1.0728488161278538
BND,Vanguard Total Bond Market ETF,Intermediate Core Bond,Fixed Income,-0.3311712224163474
BRF,VanEck Brazil Small-Cap ETF,Latin America Stock,Equities,-0.7583161930875417
BSV,Vanguard Short-Term Bond ETF,Short-Term Bond,Fixed Income,-1.2674137006097292
BWX,SPDR Bloomberg International Tr,Global Bond,Fixed Income,-0.7119166982980633
BWZ,SPDR Bloomberg Short Term Inter,Global Bond,Fixed Income,-0.9849472820241288
BZQ,ProShares UltraShort MSCI Brazi,Trading--Inverse Equity,Equities,0.5490199536129352
CEW,WisdomTree Emerging Currency St,Emerging-Markets Local-Currency Bond,Fixed Income,-0.5799584438712944
CGBLF,ISHARES GOLD BULLION ETF UNITS ,,Alternatives,-0.9238150806220704
CGW,Invesco S&P Global Water Index ,Natural Resources,Equities,0.7114117707604749
CHIQ,Global X MSCI China Consumer Di,China Region,Equities,-0.1485984655465161
CLYLF,ISHARES S&P/TSX CANADIAN DIV ET,,Equities,-0.3435579483486181
CMF,iShares California Muni Bond ET,Muni California Long,Fixed Income,0.320435521691121
COLO,Global X MSCI Colombia ETF,Miscellaneous Region,Equities,-0.7241654351647114
COPX,Global X Copper Miners ETF,Natural Resources,Equities,-0.6775507116849567
CORP,Pimco Investment Grade Corporat,Corporate Bond,Fixed Income,0.1253102566852362
CQQQ,Invesco China Technology ETF,China Region,Equities,0.6275865670923175
CSD,Invesco S&P Spin-Off ETF,Mid-Cap Blend,Equities,0.7249566503128921
CSM,ProShares Large Cap Core Plus,Large Blend,Equities,1.1582576769679596
CUT,Invesco MSCI Global Timber ETF,Natural Resources,Equities,0.5561026809788048
CVY,Invesco Zacks Multi-Asset Incom,Aggressive Allocation,Blended / Multi-Asset,0.0289300168286846
CWB,SPDR Bloomberg Convertible Secu,Convertibles,Equities,0.6701384097573361
CWI,SPDR MSCI ACWI ex-US ETF,Foreign Large Blend,Equities,0.2047429897124324
CZA,Invesco Zacks Mid-Cap ETF,Mid-Cap Blend,Equities,1.0053031219231443
DDM,ProShares Ultra Dow30,Trading--Leveraged Equity,Equities,0.8868931889607906
DEM,WisdomTree Emerging Markets Hig,Diversified Emerging Mkts,Equities,-0.5173709412521629
DES,WisdomTree U.S. SmallCap Divide,Small Value,Equities,0.8084557297212566
DEW,WisdomTree Global High Dividend,Global Large-Stock Value,Equities,0.1575023951797795
DFE,WisdomTree Europe SmallCap Divi,Europe Stock,Equities,0.9045081790025588
DFJ,WisdomTree Japan SmallCap Fund,Japan Stock,Equities,0.5922977586277326
DGS,WisdomTree Emerging Market Smal,Diversified Emerging Mkts,Equities,-0.1794942805704363
DGT,SPDR Global Dow ETF (based on T,Global Large-Stock Value,Equities,0.5091493446287304
DHS,WisdomTree U.S. High Dividend F,Large Value,Equities,0.9723713524309896
DIA,SPDR Dow Jones Industrial Avera,Large Value,Equities,0.8295448914364886
DIG,ProShares Ultra Energy,Trading--Leveraged Equity,Equities,-0.1606590798716311
DIM,WisdomTree International MidCap,Foreign Small/Mid Value,Equities,0.538887486790029
DLN,WisdomTree U.S. LargeCap Divide,Large Value,Equities,0.9867848046083988
DLS,WisdomTree International SmallC,Foreign Small/Mid Value,Equities,0.6186092619501753
DNL,WisdomTree Global ex-US Quality,Foreign Large Growth,Equities,-0.0100668773955054
DOG,ProShares Short Dow30,Trading--Inverse Equity,Equities,-1.5366197559804078
DOL,WisdomTree International LargeC,Foreign Large Value,Equities,0.2581702589095618
DON,WisdomTree U.S. MidCap Dividend,Mid-Cap Value,Equities,1.086252274727123
DRN,Direxion Daily Real Estate Bull,Trading--Leveraged Equity,Alternatives,0.7977660398998124
DRV,Direxion Daily Real Estate Bear,Trading--Inverse Equity,Alternatives,-1.123980110309584
DSI,iShares ESG MSCI KLD 400 ETF,Large Blend,Equities,1.029884059199469
DTD,WisdomTree U.S. Total Dividend ,Large Value,Equities,1.0061433468638492
DTH,WisdomTree International High D,Foreign Large Value,Equities,0.2308586017670516
DTRE,First Trust Alerian Disruptive ,Global Real Estate,Alternatives,0.6247042630752221
DUG,ProShares UltraShort Energy,Trading--Inverse Equity,Equities,-0.1682098649016248
DUST,Direxion Daily Gold Miners Inde,Trading--Inverse Equity,Alternatives,0.4557604093780211
DVY,iShares Select Dividend ETF,Large Value,Equities,0.934816510423676
DWM,WisdomTree International Equity,Foreign Large Value,Equities,0.3492098427962753
DWX,SPDR S&P International Dividend,Foreign Large Value,Equities,-0.227134927689171
DXD,ProShares UltraShort Dow30,Trading--Inverse Equity,Equities,-1.3889647801581868
DXJ,WisdomTree Japan Hedged Equity ,Japan Stock,Equities,0.7496468269783206
ECH,iShares Inc. iShares MSCI Chile,Miscellaneous Region,Equities,-0.8128721015561933
ECNS,iShares MSCI China Small-Cap ET,China Region,Equities,0.3985415568186456
ECON,Columbia Research Enhanced Emer,Diversified Emerging Mkts,Equities,-0.117696513392642
EDC,Direxion Emerging Markets Bull ,Trading--Leveraged Equity,Equities,-0.2188097287821479
EDV,Vanguard Extended Duration Trea,Long Government,Equities,0.09534646940379
EDZ,Direxion Emerging Markets Bear ,Trading--Inverse Equity,Equities,-0.2146753607520424
EEM,iShares MSCI Emerging Index Fun,Diversified Emerging Mkts,Equities,-0.2339943220411788
EES,WisdomTree U.S. SmallCap Fund,Small Value,Equities,0.6621291399390591
