Ticker,5Y Sharpe Ratio
AAA,0.7488661995527718
AAAA,
AAAU,0.9574183443639624
AADR,0.23456472318031985
AALG,
AAPB,0.20460359699929165
AAPD,-0.4616676893814161
AAPR,1.7585442790261958
AAPU,0.24249391733177195
AAPW,-3.2332980026177354
AAPX,0.012939478644619527
AAPY,0.28400416146803625
AAUS,
AAVM,-0.04412509530527783
AAXJ,-0.030172826995800234
ABCS,0.4959748318831788
ABEQ,0.3873236277894591
ABFL,0.46145852630544576
ABI,
ABIG,18.146388923021906
ABLD,0.4114504603758995
ABLG,-0.12258878846409532
ABLS,-0.373847475135808
ABOT,0.42010209836304246
ABXB,-0.23450781882771163
ACES,-0.5420193703659196
ACGR,0.4580284171486854
ACIO,0.5375285380075839
ACLC,0.38138871247680606
ACLO,1.2058134170133636
ACSI,0.3011213638534137
ACTV,-0.1716019606866439
ACVF,0.5275533985918159
ACVT,7.703841607435789
ACWEF,0.33246005863236605
ACWI,0.3836315202359071
ACWV,0.21797605906659703
ACWX,0.16908273937482382
ADBG,-0.8877178687616896
ADFI,-0.6040371508424455
ADIV,0.2543894566587946
ADME,0.2330724545054035
ADPV,0.8139137788413884
ADVE,1.0241659945220507
AEMS,
AESR,0.5068731926131865
AETH,0.8580529575484561
AFIF,0.15215637777040852
AFIX,0.061318454696352796
AFK,0.021625376493291767
AFLG,0.4989738267547749
AFMC,0.28850486072937226
AFOS,
AFSC,0.20078906675524527
AFSM,0.17881698363314175
AGEM,3.2464377259845563
AGG,-0.5579817954060953
AGGA,1.6976569366873173
AGGH,-0.25942001445238244
AGGS,0.46875004250049973
AGGY,-0.5431400353392942
AGIH,0.0234972236805673
AGIX,1.1875044702692974
AGMI,0.715380407061782
AGNG,-0.0021710109815107747
AGOX,0.2134025117818296
AGQI,1.1899213211537505
AGRH,1.028591068581995
AGRW,5.353626457964606
AGSCF,0.1732984996544272
AGVTF,
AGZ,-0.6802164188875791
AGZD,0.2300793248301808
AHLT,-0.4484130509171804
AHYB,0.08992517271954346
AIA,0.07960626196508866
AIBD,-1.9153356100827768
AIBU,1.442736118095656
AIEQ,0.06057812189636179
AIFD,0.7706075324692166
AINDF,-0.995855495530837
AINP,1.7646751209740552
AIOO,
AIPI,0.5115508243170084
AIPO,
AIQ,0.4131876471086612
AIRL,0.6871203511148664
AIRR,0.7274180086638209
AIS,1.2405685053744036
AISFF,-0.07841357569834484
AIVC,0.0788838812880035
AIVI,0.34297727461017763
AIVL,0.26981704782912147
AJAN,1.3799248652441418
AJUL,1.1345702793359596
AKAF,
ALAI,1.8219766730911382
ALIL,13.636331556856142
ALLW,1.3124371840035283
ALRG,
ALTL,-0.1287126835224741
ALTY,0.10063033098702989
AMAX,0.044340517426241496
AMDD,-4.979618585081506
AMDG,1.4773772487846932
AMDL,-0.06638805596227791
AMDW,
AMID,0.645763668134906
AMISF,
AMLP,0.8656437707683714
AMNRF,
AMOM,0.23811078152526038
AMSPF,0.06976524810142996
AMUTF,
AMUU,9.106605611010053
AMZA,0.8500251962629686
AMZD,-1.1112647558731832
AMZP,1.3695849123222041
AMZU,0.7332443277727435
AMZW,
AMZZ,0.5917834723834322
ANDXF,
ANEW,0.0930456392212947
ANGL,-0.056926993895889025
AOA,0.30722839925149475
AOCT,0.881556536703645
AOFLF,0.2854355649882786
AOHY,1.4858214673239434
AOK,-0.07495039914499298
AOM,0.026217074812664696
AOR,0.19050358313466698
AOTG,0.9998732220971561
APCB,0.10314179441056488
APED,4.1571094559416455
APIE,1.0110157353271743
APLU,1.171010631088458
APMU,-0.061563763368803315
APOC,-0.14026821919905247
APPX,1.807468627913945
APRH,0.77024987537703
APRJ,0.6463250428802871
APRP,1.1992273709292507
APRZ,0.5549930304129546
APUE,1.304808849977938
APXM,4.539305207679256
AQLT,0.6571046056490245
AQWA,0.186720619095806
ARB,0.31375697032432315
ARBKL,0.08178483896939052
ARCM,-0.036250607738652484
ARCX,
AREA,-1.1943967756439746
ARGT,0.8710011221310141
ARKA,1.1446615694396889
ARKB,1.3853524175130103
ARKD,1.1646265043513457
ARKF,0.1816977746997842
ARKG,-0.6537518118925494
ARKK,-0.09725242413777867
ARKQ,0.2037152465736987
ARKW,0.19891936282400827
ARKX,0.25024665070786656
ARKZ,0.6528819080181909
ARLU,0.9695653475865693
ARMG,-0.22477261185538472
ARMU,1.277760901115948
ARP,0.6271656375687262
ARTY,0.04898926164942847
ARVR,0.6936115880096456
ASCE,
ASEA,0.4057413037231334
ASET,0.018642935100006364
ASHR,-0.2774986015776518
ASHS,-0.18866619136398252
ASIA,0.692265327658359
ASLV,2.0012217938183023
ASMF,-1.5106909096996415
ASMG,-0.5999042360081729
ASTX,
ATFV,0.3950238881587819
ATLCL,0.21709354784044607
ATLCZ,1.1542809945304437
ATMP,1.0782323125260054
AUGM,1.0230136189951915
AUGP,1.5040653886549125
AUGU,0.7104742593590396
AUGZ,0.5155096731534173
AUMDF,
AUMI,1.4594429581714607
AUSF,0.7129167988623358
AUSM,
AVDE,0.29516498708874894
AVDS,0.7806762171049213
AVDV,0.4062637596150132
AVEE,0.7977174621109366
AVEM,0.14970630250228184
AVES,0.22432532099468025
AVGB,2.5778813191409884
AVGE,1.0756225407622164
AVGG,5.4869291489519725
AVGU,
AVGV,0.8676158223040427
AVGW,
AVGX,1.1193950584229042
AVIE,0.470668880438518
AVIG,-0.5142568249640087
AVIV,0.42603509579885984
AVL,1.2485015957645513
AVLC,1.4541171404305917
AVLV,0.4914161701855801
AVMA,0.8878994711141713
AVMC,0.8752871169534007
