Ticker,Name,Category,Class,5Y Sharpe Ratio
BBH,VanEck Biotech ETF,Health,Equities,-0.049898186135692
DIA,SPDR Dow Jones Industrial Avera,Large Value,Equities,0.0254436771818174
EWA,iShares MSCI Australia Index Fu,Miscellaneous Region,Equities,0.7870110687372371
EWC,iShares MSCI Canada Index Fund,Miscellaneous Region,Equities,0.331028758248757
EWD,iShares Inc iShares MSCI Sweden,Miscellaneous Region,Equities,0.257257851605235
EWG,iShares MSCI Germany Index Fund,Miscellaneous Region,Equities,0.0359373087289724
EWH,iShares MSCI Hong Kong Index Fu,China Region,Equities,0.1134657919452102
EWI,iShares Inc iShares MSCI Italy ,Miscellaneous Region,Equities,0.3473027402977897
EWJ,iShares MSCI Japan Index Fund,Japan Stock,Equities,-0.0113294863446381
EWK,iShares Inc iShares MSCI Belgiu,Miscellaneous Region,Equities,0.5369059242095231
EWL,iShares Inc iShares MSCI Switze,Miscellaneous Region,Equities,-0.0253866290560776
EWM,iShares MSCI Malaysia Index Fun,Miscellaneous Region,Equities,0.4365760615521611
EWN,iShares MSCI Netherlands Index ,Miscellaneous Region,Equities,-0.1601361292375223
EWO,iShares Inc iShares MSCI Austri,Miscellaneous Region,Equities,1.4816333889368218
EWP,iShares Inc iShares MSCI Spain ,Miscellaneous Region,Equities,0.5404017639520913
EWQ,iShares MSCI France Index Fund,Miscellaneous Region,Equities,0.0723705786940614
EWS,iShares Inc iShares MSCI Singap,Miscellaneous Region,Equities,0.1805682676828614
EWU,iShares MSCI,Miscellaneous Region,Equities,0.0923507809010274
EWW,iShares Inc iShares MSCI Mexico,Latin America Stock,Equities,0.7472759281951012
EWY,iShares Inc iShares MSCI South ,Miscellaneous Region,Equities,0.7055275941987025
IDU,iShares U.S. Utilities ETF,Utilities,Equities,-0.2094597773683351
IJH,iShares Core S&P Mid-Cap ETF,Mid-Cap Blend,Equities,0.3877837225843576
IJR,iShares Core S&P Small-Cap ETF,Small Blend,Equities,0.5566442850972293
IVE,iShares S&P 500 Value ETF,Large Value,Equities,-0.004432576622671
IVV,iShares Core S&P 500 ETF,Large Blend,Equities,-0.0816623402594634
IVW,iShares S&P 500 Growth ETF,Large Growth,Equities,-0.1779602217270066
IWB,iShares Russell 1000 ETF,Large Blend,Equities,-0.0550926937113641
IWD,iShares Russell 1000 Value ETF,Large Value,Equities,0.2237310451181998
IWF,iShares Russell 1000 Growth ETF,Large Growth,Equities,-0.3028297670701034
IWM,iShares Russell 2000 ETF,Small Blend,Equities,0.3952779830531996
IWV,iShares Russell 3000 ETF,Large Blend,Equities,-0.0116376879934443
IYF,iShares U.S. Financial ETF,Financial,Equities,0.2938759439754672
IYW,iShares U.S. Technology ETF,Technology,Equities,-0.1409781331423478
MDY,SPDR S&P MidCap 400 ETF Trust,Mid-Cap Blend,Equities,0.3230349778519508
OEF,iShares S&P 100 ETF,Large Blend,Equities,0.1196836337246262
QQQ,"Invesco QQQ Trust, Series 1",Large Growth,Equities,-0.1905052606960859
SPY,SPDR S&P 500,Large Blend,Equities,-0.129695532492077
TLT,iShares 20+ Year Treasury Bond ,Long Government,Fixed Income,-0.0091307960215179
XLB,Materials Select Sector SPDR,Natural Resources,Equities,0.4790165459859078
XLE,SPDR Select Sector Fund - Energ,Equity Energy,Equities,0.1485883722863402
XLF,SPDR Select Sector Fund - Finan,Financial,Equities,0.0610839202401144
XLI,SPDR Select Sector Fund - Indus,Industrials,Equities,-4.902276308371508e-05
XLK,SPDR Select Sector Fund - Techn,Technology,Equities,-0.1969356506223295
XLP,SPDR Select Sector Fund - Consu,Consumer Defensive,Equities,-0.4969043598127207
XLU,SPDR Select Sector Fund - Utili,Utilities,Equities,-0.1376006451230976
XLV,SPDR Select Sector Fund - Healt,Health,Equities,0.0995820844743436
XLY,SPDR Select Sector Fund - Consu,Consumer Cyclical,Equities,0.3903527148765368
